glass_name,filter_mode,property_mode,rank,sciglass_id,distance,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_RO,oxide_FemOn,oxide_R2O,oxide_R2O3,oxide_RO2,oxide_RO3,oxide_RO4,oxide_R2O5,oxide_RF,oxide_RF2,oxide_RF3,oxide_RF4,oxide_RF5,oxide_RHal,oxide_RHal2,oxide_RHal3,oxide_RHal4,oxide_RHal5,oxide_RHaln,oxide_RmOn,oxide_RmNn,scenario
P-SF68,adaptive,B,16,3837600455461,0.0660707304845778,0.0,0.0,57.35255432128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.96884155273438,0.0,5.031154632568359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,17,3304900407418,0.06795049391941829,7.061156272888184,0.0,16.00652503967285,0.0,0.0,0.0,0.0,4.996821403503418,0.0,0.0,4.98784875869751,9.978102684020996,0.0,30.914031982421875,0.0,0.0,0.0,14.965951919555664,0.0,4.996821403503418,42.06203079223633,30.914031982421875,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999237060548,0.0,adaptive_B
P-SF68,adaptive,B,18,3601900431295,0.06870351668145598,10.0,0.0,25.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,5.0,13.0,0.0,0.0,1.0,6.0,0.0,18.0,0.0,12.0,51.0,7.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,19,3694100439470,0.07243392161003206,13.662538528442385,2.012783527374268,29.477941513061523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.353963851928711,10.086130142211914,0.0,3.923685312271118,3.330974817276001,0.0,0.0,15.440093994140623,0.0,0.0,63.642696380615234,7.254660129547119,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
P-SF68,adaptive,B,20,3555300427494,0.07346331230284976,22.202486038208008,11.101243019104004,27.79751205444336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.7975082397461,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
N-LASF55,adaptive,B,1,848700066662,0.04507719632037788,20.21198463439941,0.0,20.52181434631348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.420616149902344,22.357824325561523,0.0,0.0,0.0,0.0,44.36579895019531,29.778440475463867,0.0,,5.643770217895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
N-LASF55,adaptive,B,2,848700066661,0.05437174199779675,19.9104061126709,0.0,22.23717498779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.309894561767578,22.024229049682617,0.0,0.0,0.0,0.0,45.72539520263672,29.334123611450195,0.0,,5.030078887939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
N-LASF55,adaptive,B,3,3920300463300,0.09885347257242101,15.781943321228027,0.0,20.932159423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.180333137512207,0.0,0.0,7.2434306144714355,21.203222274780277,0.0,5.180333137512207,0.0,0.0,46.77358627319336,28.446653366088867,0.0,,3.817483901977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
N-LASF55,adaptive,B,4,3697500439954,0.09885347257242101,15.781577110290527,0.0,20.932092666625977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.180517673492432,0.0,0.0,7.240723609924316,21.202119827270508,0.0,5.180517673492432,0.0,0.0,46.77467346191406,28.44284439086914,0.0,,3.820381879806519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,adaptive_B
N-LASF55,adaptive,B,5,3697500439945,0.10160618828837178,15.670000076293944,0.0,20.780000686645508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.440000057220459,5.139999866485596,0.0,0.0,7.190000057220459,21.049999237060547,0.0,6.579999923706055,0.0,0.0,45.720001220703125,28.239999771118164,0.0,,3.7899999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999237060548,0.0,adaptive_B
