glass_name,property_mode,rank,sciglass_id,distance,primary_plausible,in_mode_a_top20,in_stable_set
N-LASF41,B,10,2756100361836,0.04379041430100042,False,False,False
N-LASF41,B,11,2756100361838,0.05629420284852049,False,False,False
N-LASF41,B,12,2756100361827,0.058935724583329505,False,False,False
N-LASF41,B,13,2756100361834,0.06315198529423031,False,False,False
N-LASF41,B,14,4025500474250,0.06502277166769352,False,False,False
N-LASF41,B,15,2756100361829,0.0670459777291454,False,False,False
N-LASF41,B,16,3140700403804,0.0670459777291454,False,False,False
N-LASF41,B,17,1520600131601,0.06852701182917353,False,False,False
N-LASF41,B,18,2756100361828,0.07605427831051652,False,False,False
N-LASF41,B,19,4107000479300,0.07750636312359266,True,False,False
N-LASF41,B,20,2756100361835,0.0821477194485688,False,False,False
N-LASF40,B,1,3735700443246,0.03463681079440785,True,False,False
N-LASF40,B,2,3735700443260,0.038964599771854756,True,False,False
N-LASF40,B,3,3481600409420,0.04375802945118148,False,False,False
N-LASF40,B,4,3481600409422,0.04509498293367655,True,False,False
N-LASF40,B,5,4374800531685,0.05217139994214787,False,False,False
N-LASF40,B,6,4374800531691,0.05601933728479082,False,False,False
N-LASF40,B,7,2083900177250,0.056735131952444715,False,False,False
N-LASF40,B,8,4374800531694,0.062060511544452225,False,False,False
N-LASF40,B,9,4374800531695,0.06374297144797912,False,False,False
N-LASF40,B,10,2737000360207,0.06579659189080898,False,False,False
N-LASF40,B,11,3481600409417,0.06695040004812927,False,False,False
N-LASF40,B,12,3481600409413,0.06779016097558083,True,False,False
N-LASF40,B,13,3784800447339,0.06811339726091359,False,False,False
N-LASF40,B,14,3481600409415,0.07511719010032616,True,False,False
N-LASF40,B,15,3152400404464,0.07513391038468431,False,False,False
N-LASF40,B,16,2753500361559,0.07513391038468431,False,False,False
N-LASF40,B,17,3481600409423,0.07617363519697956,False,False,False
N-LASF40,B,18,3549900426494,0.07634069946445438,False,False,False
N-LASF40,B,19,268800110699,0.07858822922302261,False,False,False
N-LASF40,B,20,3693100439339,0.07927803245729609,False,False,False
SF6G05,B,1,326300110721,0.01214539985331221,False,False,False
SF6G05,B,2,3546600425755,0.016193004853628942,False,False,False
SF6G05,B,3,365500005931,0.01794058769867837,False,False,False
SF6G05,B,4,983500085587,0.018025957769863172,False,False,False
SF6G05,B,5,2619800198758,0.020235118465960846,False,False,False
SF6G05,B,6,190500000724,0.031200043686674835,False,False,False
SF6G05,B,7,3697700439996,0.04434695875729809,False,False,False
SF6G05,B,8,3601900431272,0.060694354143200305,False,False,False
SF6G05,B,9,3550800426564,0.06189445080846145,False,False,False
SF6G05,B,10,4243100490523,0.06189445080846145,False,False,False
SF6G05,B,11,2619800198757,0.06495514055326757,False,False,False
SF6G05,B,12,4035600467681,0.07446129154006963,False,False,False
SF6G05,B,13,3413500408348,0.07984679390102245,False,False,False
SF6G05,B,14,3697700440011,0.08170802339418481,False,False,False
SF6G05,B,15,365500005945,0.08524942831763432,False,False,False
SF6G05,B,16,3697700440009,0.0873689928470702,False,False,False
SF6G05,B,17,3988700471312,0.089248083724167,False,False,False
SF6G05,B,18,4061100476062,0.089248083724167,False,False,False
SF6G05,B,19,3488700409760,0.0910263315911366,False,False,False
SF6G05,B,20,3604000431814,0.09148630197707101,False,False,False
N-LASF43,B,1,508400061790,0.018638895396664037,False,False,False
N-LASF43,B,2,3459100408600,0.02282497497849231,True,False,False
N-LASF43,B,3,508500061793,0.04017930724334475,False,False,False
N-LASF43,B,4,508500061795,0.04165113941204681,False,False,False
N-LASF43,B,5,3202700406213,0.06177227772316403,False,False,False
N-LASF43,B,6,508400061789,0.07643040152640286,False,False,False
N-LASF43,B,7,3602400431461,0.09907098072355207,True,False,False
N-LASF43,B,8,508400061784,0.10011415861544472,False,False,False
N-LASF43,B,9,3696300439659,0.10032853479200159,True,False,False
N-LASF43,B,10,508400061785,0.10807767921035531,False,False,False
N-LASF43,B,11,3735700443250,0.10993906075604352,False,False,False
N-LASF43,B,12,508500061794,0.11216795042109524,False,False,False
N-LASF43,B,13,3602400431463,0.11229302472081595,True,False,False
N-LASF43,B,14,2757400362109,0.11293108022290457,False,False,False
N-LASF43,B,15,508400061788,0.11331655413593786,False,False,False
N-LASF43,B,16,508400061786,0.11366730639300568,False,False,False
N-LASF43,B,17,2822200362387,0.11369944036086235,False,False,False
N-LASF43,B,18,2753500361556,0.11369944036086235,False,False,False
N-LASF43,B,19,4105200479037,0.11511313119324733,False,False,False
N-LASF43,B,20,4019800474002,0.11545306795151282,False,False,False
P-LASF47,B,1,3137100403552,0.005348329583032153,False,False,False
P-LASF47,B,2,3137100403586,0.006150200695668888,False,False,False
P-LASF47,B,3,3137100403575,0.009950001910486447,False,False,False
