glass_name,nd,vd,density,tg
F5,0.27277117820370317,0.2917898211015556,0.3707397142965538,0.49222900247399454
N-SK14,0.18262624818651238,0.39824150607492276,0.38416409335500606,0.49392288236703513
LF5G19,0.3987194202254588,0.4412317157205805,0.23479706181853105,0.06749072689772836
N-SK5,0.10111000458023323,0.5582671962431538,0.34062279917661287,0.0
N-SK5HTi,0.10111000458023323,0.5582671962431538,0.34062279917661287,0.0
P-SK57,0.1508048733587771,0.3295407953973102,0.2125851567556448,0.4665080420550014
LF5,0.524397304626082,0.29600099635907173,0.18186979289837132,0.21066027785167782
LF5HTi,0.5408254312460666,0.28195637683800534,0.17738033816943125,0.2106565513609875
N-BALF4,0.46770032635814507,0.2848051142482254,0.22583784737631224,0.25750991661820405
N-BAK1,0.07807885603465968,0.3012338985402322,0.6206872454251082,0.0
N-BAK4,0.39452268491420595,0.275899174337554,0.2792264636970687,0.3803469410069643
N-BAK4HT,0.39452268491420595,0.275899174337554,0.2792264636970687,0.3803469410069643
N-SK11,0.181702409282874,0.5817756434059198,0.24204821383391942,0.44056219100963645
N-KZFS2,0.358044705695597,0.1798330344179887,0.3988483319075555,0.37654595500340626
N-PSK3,0.2937314383446281,0.3710498350358341,0.3340559762883734,0.30149086935332453
LLF1HTi,0.26409758205516387,0.393091989158827,0.35233566554267454,0.26007011485393916
LLF1,0.25020609961782825,0.39169542799592355,0.3747074915552365,0.24012509114451092
N-BALF5,0.46344161840938514,0.338444074533389,0.21318830562078853,0.28511707071633563
N-BAK2,0.3331737422237441,0.41206197901506136,0.3025552609723942,0.3164800145926619
N-PK51,0.15237972315634846,0.5251678665369697,0.6065770505077692,0.21688963904354608
N-KF9,0.34263480656763806,0.33238793813211076,0.37541560399937335,0.18827837042033319
K5G20,0.21665352635456667,0.2832995943487373,0.4522071442165633,0.3613386969297736
N-K5,0.2649265652679548,0.4464620924118739,0.3157460989604051,0.3983612976792922
BK7G18,0.19885691105455516,0.6137713004183702,0.1882293208074256,0.33907842849831465
N-BK7,0.2851898068218923,0.2287469863646034,0.47644490803827344,0.24623480231956857
N-BK7HT,0.2851898068218923,0.2287469863646034,0.47644490803827344,0.24623480231956857
N-BK7HTi,0.2851898068218923,0.2287469863646034,0.47644490803827344,0.24623480231956857
N-BK7HTSultra,0.19621744864590956,0.21557596972361917,0.4841070049009404,0.48977177405514766
N-ZK7A,0.4656468947032839,0.31398307988382623,0.20128780973087546,0.2729294388625989
