composition,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_Bi2O3,oxide_WO3,oxide_RO,oxide_FemOn,oxide_R2O3,oxide_R2O5,oxide_RO2,ND300_pred,NUD300_pred,DENSITY_pred,TG_pred,PbO,glass_family,pareto_rank,distance_to_training,feasible,anomaly_oxide
BAO=19.62; R2O3=59.58; RO2=0.69; SIO2=19.50,19.499946398424907,0.061865168325098696,0.022816303526227776,0.003133246382108606,0.00036859409014293286,0.007647283455540827,0.0,0.011328197905073577,0.0014127287750800932,0.005145553232743244,19.616170997760708,0.000541819821985153,0.00556376016166861,4.6105990904488644e-05,0.04149189321919069,0.1986709065688031,0.08396120974388206,0.00045681198721886406,2.7640535539413343e-06,0.11024408266542073,0.00022128189793830635,59.584677093413895,0.058269296684139646,0.6860185019137595,1.8977223634719849,46.2762336730957,468.4246123472931,615.3639526367188,0.0,uncertain,30,1.2969036812116566,True,False
BAO=19.52; R2O3=60.14; SIO2=19.37,19.367323963496986,0.06145797611321006,0.02269371719581535,0.10555187138877219,0.0003746642578238668,0.00760619650140907,0.0,0.007890653285210986,0.0014051385343469248,0.009345459137609088,19.52133990335432,0.03290990825091968,0.005533867460568724,0.0003105043790630627,0.04126896758508182,0.15614834841983338,0.08351010702307284,0.0004457356482734099,2.749202980891603e-06,0.10965176859806522,0.0004780119061193243,60.13767393903069,0.057277128467944825,0.2697994207618849,1.8975039720535278,46.20920944213867,961.9389185970916,616.2509155273438,0.0,uncertain,31,1.297392136667492,True,False
BAO=19.77; R2O3=59.73; SIO2=19.75,19.745589014916217,0.058210317636991804,0.005449917739135322,0.09334841700246278,0.027179522451343363,0.0005497835174763749,0.0,0.0018024536168487649,0.0016811251077949413,0.003007143611334112,19.766175547773702,0.04393924167164926,0.00691099287536515,0.07037375965455601,0.02193721181602396,0.20162960087683224,0.07833548291072673,0.0003142429599112354,0.011437939660835185,0.05602868601526356,0.00036162278271791606,59.72741987434801,0.00027564865459073614,0.07804245240021389,1.8964972496032715,45.83345031738281,504.380445224287,621.5856323242188,0.0,uncertain,32,1.299263599942387,True,False
BAO=1.54; R2O3=64.37; RO2=0.73; SIO2=32.79,32.793396637261985,0.066046394029724,0.0025703664038144824,0.019627060140081833,0.0041560714444082505,0.012488103174216749,0.0,0.013124392806768897,0.013386191292961034,0.11747570850418479,1.5379140566293037,0.02397687173060007,0.005804752093550742,0.0024945125262436905,0.04447967147275224,0.16888769699040002,0.007836833604394064,0.00046509354968396867,2.3397537317003567e-05,0.061007369499766796,0.0008749008488914075,64.36997544824168,0.00027495026780896667,0.7337135199494603,1.8934454917907715,41.07658767700195,5.820215321116956,672.7036743164062,0.0,uncertain,33,0.24774304309782014,True,False
B2O3=0.91; BAO=17.41; CAO=0.69; K2O=0.53; R2O3=56.35; RO2=3.99; SIO2=18.17; WO3=1.24,18.169415539943518,0.05496649226804923,0.9077799199042552,0.691402281183175,0.5301106390786636,0.1726225099625073,0.0,0.010436061941920595,0.017023831123682578,0.09609185909586296,17.412468158854647,0.03210655112955139,0.005558152915511674,0.0637053893459444,0.08750141943505492,0.010648918979689573,0.07434257395965559,0.001114682499480727,1.2400521427235318,0.05107530874463592,0.00026777626574307723,56.345256406822266,0.03601794242076441,3.9900354414018944,1.892622947692871,47.75947189331055,140.6639135567871,629.2683715820312,0.0,uncertain,34,1.3947526856021286,True,False
BAO=18.66; R2O3=56.39; SIO2=18.88; ZRO2=5.51,18.883660644837647,0.05495657872848404,0.10395874706487604,0.0885755103150159,0.025530649180745154,0.02774258716083749,0.0,0.009428597545200068,0.001587156505743788,0.0016958892257038557,18.661320307964544,0.00335153592717328,0.006524694237463444,0.06593408585646242,5.509236569323543,0.0051111200208459225,0.0717410530972296,0.0007989434657273355,0.011043010228262026,0.052896892149830725,0.002593848078462405,56.3888806284043,0.00026024092639188265,0.023170709755513604,1.8889169692993164,42.13542175292969,210.44187122140673,660.944580078125,0.0,uncertain,35,2.1442664789710073,True,False
R2O3=64.91; SIO2=34.93,34.926632640710345,0.0026090714262177986,0.008455168781627054,0.003839433924668803,0.0001303987110951113,0.00031483068907212064,0.0,0.008549460528657748,0.0007023254708058884,0.00022972595131997317,0.03660787325085456,5.67115929591215e-06,0.0025367073486172245,0.0003979865309573384,0.014311304875232135,0.006151071384664409,0.002043865929966264,1.895182395102596e-05,4.631330232934143e-05,0.06817917934086985,4.253709840985554e-08,64.91155855383917,0.006518817023477609,0.00016060545970779315,1.8889005184173584,34.11479949951172,4.315982153509635,679.9434204101562,0.0,uncertain,36,0.009843462847849394,True,False
BAO=19.47; R2O3=59.96; SIO2=19.32,19.31528034302807,0.061281510074657534,0.022628556078791256,0.10524879729190521,0.0003046491739412868,0.18329381613284096,0.0,0.00786677323281755,0.04026010722097008,0.014548125612092584,19.469589903002984,0.03281541309332664,0.005517977909197192,0.06463934906393903,0.041150470822164074,0.1556999952163141,0.08351300978909212,0.00041906122346077964,0.013383562972501609,0.10933692234948171,0.0004766393769084952,59.964998921743494,0.038721357596102304,0.26902473799494975,1.885174036026001,46.06248092651367,415.6774351190741,613.1957397460938,0.0,uncertain,37,1.2983297627974741,True,False
R2O3=64.85; SIO2=34.89,34.893761695690166,0.0026066175608369254,0.008447216586162345,0.005613671298027202,0.0007782366645373638,0.00031453458674200144,0.0,0.008542307229116178,0.0007183378810308399,0.00022950989109511014,0.03657344307315418,0.016465361000966565,0.0025343215425861483,0.003295777046957909,0.01448957624429523,0.019571297816712033,0.001329294413839084,1.8933999515776504e-05,0.00019542322298660207,0.0681154509036776,4.249709171929818e-08,64.85050839447857,0.006512685991855624,0.05937787038006624,1.8828405141830444,35.145084381103516,4.313368901520453,691.6602172851562,0.0,uncertain,38,0.012406625020787071,True,False
BAO=17.63; CAO=0.59; R2O3=56.22; SIO2=20.11; TEO2=2.88; TIO2=0.65; WO3=0.59,20.111814321949566,0.054734308109877366,0.04853210041340252,0.5923848937061703,0.00023251385231190958,0.004584872733748722,0.0,0.0371747047279445,0.31670088555886816,0.0958419678539325,17.628153028000487,0.00597282498770161,0.005564453110042547,0.08060010044084319,0.19803622997896514,0.6504116997363782,2.884134023522329,0.007093658455350341,0.5890223197010354,0.05110816819798956,3.095753412837205e-06,56.21579965784762,0.0006103834859639065,0.42148978787605673,1.8821663856506348,46.83770751953125,87.23088433583916,606.5803833007812,0.0,uncertain,39,1.3610167355415612,True,False
